"current_sentence_rnd","obs","rmse"
1,2123,2.48034940079773
2,4890,2.26378489557073
3,5491,2.33064060260816
4,5859,2.25938935595109
5,2722,2.34803116618469
6,5824,2.59327096367013
7,2285,2.53401160391751
8,3237,2.39749580368947
9,1412,2.52557760531459
10,2587,2.73509230893234
11,610,2.56138258340102
12,2127,2.91251651900063
13,603,2.96991657400937
14,988,3.39663362595273
15,1344,3.06034131977761
16,772,3.40439635176288
17,392,3.93644865817684
18,937,3.99990356021496
19,214,4.00414552801487
20,1421,5.51162300844423
21,410,4.47389567616896
22,409,5.4703420220382
23,285,6.05711711301933
24,438,5.63642127076551
25,665,5.79086166696668
26,271,6.05393403500905
27,264,6.40474842324709
28,328,6.10176675982452
29,129,5.88877423921838
30,821,7.98103567692339
31,111,7.15820367821713
32,217,6.81853527967812
33,130,7.25622936882347
34,115,8.55621508698965
35,365,7.35359955932156
36,220,7.65565204250754
37,99,9.54362896733115
38,160,8.11752374987234
39,70,8.26571183444114
40,570,8.10767839364903
41,61,9.32752170968812
42,139,9.38098492015435
43,50,9.70444640548377
44,106,9.86287596313732
45,456,8.23761747888098
46,78,9.97804540500132
47,82,10.7890882727643
48,140,9.85372467484157
49,47,10.6044808445647
50,598,8.56069950996904
51,51,9.73552372086462
52,116,10.3788627413399
53,59,9.8184137655204
54,62,13.514617511327
55,300,6.9776204506852
56,62,9.31893478159174
57,50,12.3278652591262
58,42,9.15774549909253
59,31,14.3226439032284
60,573,7.89339981789949
61,27,11.8336038599669
62,43,8.94451692549688
63,47,13.0778499397312
64,33,10.5046305293829
65,180,8.97694151138623
66,39,10.7924521535689
67,51,14.0282048929493
68,31,12.5198187034418
69,17,16.9378751971484
70,172,12.618002949638
71,28,16.5570102727016
72,45,20.2317848603867
73,12,12.939149019889
74,22,18.2155333446864
75,227,11.9205000425184
76,32,14.9091712055034
77,14,25.0688607437091
78,28,23.8728731085232
79,14,18.8727307035615
80,219,14.357206165918
81,13,23.4701748365773
82,18,24.8344646177698
83,11,20.6084240377458
84,25,24.2042613977078
85,91,17.7655594159726
86,10,27.3306619829857
87,14,34.4120626384648
88,21,23.6635709337782
89,10,28.550760741177
90,183,17.927998733014
91,11,26.237655806881
92,21,28.7552355755472
93,8,25.6998799745472
94,8,30.1714043656855
95,48,23.5989876422288
96,16,26.8486003583185
97,12,29.3428501695946
98,10,27.5074685631355
99,8,26.079055129854
100,1998,21.6657625281796
