"step","variable","r2","adj_r2","aic","sbc","sbic"
1,"year_adm",0.452581843177622,0.452572618531803,504140.816087719,504167.789457171,335725.87292714
2,"class",0.518668200034216,0.518603304281221,496519.718637558,496609.629869063,328092.973267491
3,"parent_institution",0.558768726771021,0.558515786907764,491409.434884258,491733.115317676,322933.047172653
4,"total_counts",0.574589375172893,0.574338327745538,489244.494431318,489577.165987886,320768.318949491
5,"offense_category",0.58296129162802,0.582602581929962,488096.962990326,488573.492517302,319590.950114953
6,"aggravated",0.585139651510436,0.584775812575648,487788.167920599,488273.688570725,319282.194661171
7,"appx_age",0.586952083329019,0.586582861363062,487530.334935172,488024.846708449,319024.408604429
8,"eyes",0.58785968394861,0.58744256602534,487413.791191689,487971.240827019,318895.890308725
9,"armed",0.588632096653094,0.588208814395041,487304.465416644,487870.906175125,318786.592343491
10,"attempted",0.589079919417173,0.588650159203345,487241.826153804,487817.258035436,318723.971141539
11,"race",0.589423562359673,0.588952558955942,487204.176542005,487833.555162539,318676.337903194
12,"weight",0.589659626359342,0.58918196316607,487172.045876744,487810.415620429,318644.220171146
13,"month_adm",0.589866500768303,0.589382151054327,487144.119361188,487791.480228023,318616.306911802
14,"time_sentenced_prior",0.590065214307291,0.58957417505191,487117.359182508,487773.711172494,318589.561422813
15,"hair",0.59027353364816,0.589720447165504,487105.193765955,487842.465864295,318561.413400079
16,"num_tattoos",0.590418638685352,0.589858827500186,487086.172952456,487832.436173946,318542.406776971
17,"num_scars",0.59041863868535,0.589858827500184,487086.172952456,487832.436173947,318542.405487095
18,"sex",0.59042450519277,0.58985778131281,487087.322937271,487842.577281913,318543.558847453
19,"num_other_marks",0.590429078706027,0.589855440285018,487088.660259296,487852.905727088,318544.899612633
20,"height",0.590430662170279,0.589850104890871,487090.430821944,487863.667412887,318546.67368605
