"PrincipalComponents","CV_Error"
1,0.507237207237207
2,0.537395937395937
3,0.375202575202575
4,0.26473248973249
5,0.20454267954268
6,0.239310689310689
7,0.239951714951715
8,0.213669663669664
9,0.202802752802753
10,0.236136086136086
11,0.252161727161727
12,0.268828393828394
13,0.244866244866245
14,0.246264846264846
15,0.23967143967144
16,0.23967143967144
17,0.217449217449217
18,0.228560328560329
19,0.211893661893662
20,0.208474858474858
21,0.288841713841714
22,0.306607281607282
23,0.247724497724498
24,0.247841047841048
25,0.260386835386835
26,0.24537962037962
27,0.249275724275724
28,0.315942390942391
29,0.288902763902764
30,0.290301365301365
